,pId,title,url,successCnt,submissionCnt,answerRate,level
0,16156,장애물 달리기,https://www.acmicpc.net/problem/16156,69,259,40.116%,17
1,16399,드라이브,https://www.acmicpc.net/problem/16399,87,366,30.420%,17
2,10729,업적의 노예 1,https://www.acmicpc.net/problem/10729,18,47,51.429%,17
3,21036,Mini Market,https://www.acmicpc.net/problem/21036,8,54,22.222%,17
4,10335,There is No Alternative,https://www.acmicpc.net/problem/10335,44,111,44.000%,17
5,4503,구슬,https://www.acmicpc.net/problem/4503,5,23,23.810%,17
6,7385,Minimax Triangulation,https://www.acmicpc.net/problem/7385,2,5,50.000%,17
7,5573,산책,https://www.acmicpc.net/problem/5573,613,1772,46.264%,17
8,10649,프리스비,https://www.acmicpc.net/problem/10649,86,310,32.090%,17
9,6272,Party at Hali-Bula,https://www.acmicpc.net/problem/6272,4,12,40.000%,17
10,11871,님 게임 홀짝,https://www.acmicpc.net/problem/11871,184,336,60.328%,17
11,11868,님 게임 2,https://www.acmicpc.net/problem/11868,545,769,84.759%,17
12,11869,님블,https://www.acmicpc.net/problem/11869,217,264,89.669%,17
13,8381,Brackets,https://www.acmicpc.net/problem/8381,4,20,23.529%,17
14,12357,Zombie Smash (Large),https://www.acmicpc.net/problem/12357,4,7,66.667%,17
15,16895,님 게임 3,https://www.acmicpc.net/problem/16895,200,377,63.492%,17
16,17409,증가 수열의 개수,https://www.acmicpc.net/problem/17409,91,271,40.088%,17
17,24406,ilove Strings,https://www.acmicpc.net/problem/24406,4,5,80.000%,17
18,13960,Dinner Bet,https://www.acmicpc.net/problem/13960,18,23,85.714%,17
19,18068,Bad Treap,https://www.acmicpc.net/problem/18068,18,32,56.250%,17
20,3586,방정식,https://www.acmicpc.net/problem/3586,17,122,17.708%,17
21,8916,이진 검색 트리,https://www.acmicpc.net/problem/8916,170,1162,22.251%,17
22,8166,Triangles,https://www.acmicpc.net/problem/8166,14,63,32.558%,17
23,18602,Welcome Party,https://www.acmicpc.net/problem/18602,13,80,26.000%,17
24,24415,편지,https://www.acmicpc.net/problem/24415,15,40,53.571%,17
25,21000,Archer Vlad,https://www.acmicpc.net/problem/21000,15,63,32.609%,17
26,13291,Brackets,https://www.acmicpc.net/problem/13291,15,81,30.612%,17
27,9594,Odd and Even Zeroes,https://www.acmicpc.net/problem/9594,15,25,93.750%,17
28,23752,카드 잘 섞기,https://www.acmicpc.net/problem/23752,16,39,48.485%,17
29,19679,Fancy Fence,https://www.acmicpc.net/problem/19679,16,80,34.043%,17
30,14046,Circle of Life,https://www.acmicpc.net/problem/14046,16,64,72.727%,17
31,22357,경품 추첨,https://www.acmicpc.net/problem/22357,175,309,66.540%,17
32,17555,Blurred Pictures,https://www.acmicpc.net/problem/17555,11,11,100.000%,17
33,21136,Bitonic Ordering,https://www.acmicpc.net/problem/21136,10,18,58.824%,17
34,9556,수학 숙제,https://www.acmicpc.net/problem/9556,17,76,36.170%,17
35,19608,Searching for Strings,https://www.acmicpc.net/problem/19608,25,184,26.316%,17
36,22268,Excellent Views,https://www.acmicpc.net/problem/22268,10,12,90.909%,17
37,19553,피자 배틀,https://www.acmicpc.net/problem/19553,92,332,36.078%,17
38,5386,금화 게임,https://www.acmicpc.net/problem/5386,124,314,59.615%,17
39,15421,Birthday Cake,https://www.acmicpc.net/problem/15421,7,37,35.000%,17
40,3754,John,https://www.acmicpc.net/problem/3754,8,18,50.000%,17
41,16468,크리스마스 트리 꾸미기,https://www.acmicpc.net/problem/16468,114,421,36.422%,17
42,1048,유니콘,https://www.acmicpc.net/problem/1048,114,537,32.022%,17
43,8930,Cellular Network,https://www.acmicpc.net/problem/8930,2,2,100.000%,17
44,10265,MT,https://www.acmicpc.net/problem/10265,381,2067,32.930%,17
45,9520,NP-hard,https://www.acmicpc.net/problem/9520,290,752,51.237%,17
46,1854,K번째 최단경로 찾기,https://www.acmicpc.net/problem/1854,1967,8884,34.280%,17
47,24656,Destructive Game,https://www.acmicpc.net/problem/24656,9,11,81.818%,17
48,2172,팰린드롬 경로,https://www.acmicpc.net/problem/2172,340,1229,37.486%,17
49,11695,표 게임,https://www.acmicpc.net/problem/11695,87,189,54.037%,17
50,12885,Fox and Card Game,https://www.acmicpc.net/problem/12885,8,19,66.667%,17
51,20060,Combo,https://www.acmicpc.net/problem/20060,60,138,45.113%,17
52,2451,모둠,https://www.acmicpc.net/problem/2451,161,554,37.793%,17
53,4196,도미노,https://www.acmicpc.net/problem/4196,1284,5984,30.586%,17
54,15640,Satan Game,https://www.acmicpc.net/problem/15640,89,560,32.601%,17
55,11280,2-SAT - 3,https://www.acmicpc.net/problem/11280,1005,2608,54.709%,17
56,2673,교차하지 않는 원의 현들의 최대집합,https://www.acmicpc.net/problem/2673,455,1745,39.669%,17
57,15647,로스팅하는 엠마도 바리스타입니다,https://www.acmicpc.net/problem/15647,81,225,46.821%,17
58,22468,House Moving,https://www.acmicpc.net/problem/22468,5,10,50.000%,17
59,19467,Graph Coloring 2,https://www.acmicpc.net/problem/19467,5,13,71.429%,17
60,2995,생일,https://www.acmicpc.net/problem/2995,74,205,43.529%,17
61,3044,자전거 경주 준비하기,https://www.acmicpc.net/problem/3044,103,1003,18.864%,17
62,18118,7-세그먼트 디스플레이,https://www.acmicpc.net/problem/18118,86,517,22.632%,17
63,4951,"And Then, How Many Are There?",https://www.acmicpc.net/problem/4951,4,5,80.000%,17
64,3464,Decoding Morse sequences,https://www.acmicpc.net/problem/3464,4,14,57.143%,17
65,16157,블로그,https://www.acmicpc.net/problem/16157,70,254,36.082%,17
66,1462,퀴즈쇼,https://www.acmicpc.net/problem/1462,64,280,30.622%,17
67,1410,패턴의 개수,https://www.acmicpc.net/problem/1410,64,307,34.973%,17
68,16591,Discs,https://www.acmicpc.net/problem/16591,6,24,66.667%,17
69,16380,Prime Tree - 8,https://www.acmicpc.net/problem/16380,12,17,70.588%,17
70,18659,Sticks,https://www.acmicpc.net/problem/18659,6,27,35.294%,17
71,16572,Pixel Triangles,https://www.acmicpc.net/problem/16572,70,339,39.548%,17
72,3405,파산하는 왕국,https://www.acmicpc.net/problem/3405,70,452,27.888%,17
73,3429,방어선,https://www.acmicpc.net/problem/3429,81,499,29.348%,17
74,23340,Garden Park,https://www.acmicpc.net/problem/23340,6,12,50.000%,17
75,16732,Imputation,https://www.acmicpc.net/problem/16732,5,8,62.500%,17
76,23313,K-계산기,https://www.acmicpc.net/problem/23313,19,93,24.675%,17
77,12973,Array GCD,https://www.acmicpc.net/problem/12973,19,51,47.500%,17
78,10803,정사각형 만들기,https://www.acmicpc.net/problem/10803,531,2930,27.484%,17
79,21981,고장난 시계,https://www.acmicpc.net/problem/21981,3,5,100.000%,17
80,8909,Soju,https://www.acmicpc.net/problem/8909,16,149,42.105%,17
81,16419,Knockout,https://www.acmicpc.net/problem/16419,13,31,43.333%,17
82,10712,財宝,https://www.acmicpc.net/problem/10712,14,70,34.146%,17
83,13025,숫자 골라내기,https://www.acmicpc.net/problem/13025,8,23,40.000%,17
84,18709,Flipping El-fetiera,https://www.acmicpc.net/problem/18709,8,15,57.143%,17
85,24677,Restricted Arrays,https://www.acmicpc.net/problem/24677,4,12,33.333%,17
86,3841,Non-negative Partial Sums,https://www.acmicpc.net/problem/3841,31,136,33.333%,17
87,19263,Game of Chairs,https://www.acmicpc.net/problem/19263,3,3,100.000%,17
88,20255,Table Tennis,https://www.acmicpc.net/problem/20255,6,31,37.500%,17
89,13712,키르히호프의 법칙,https://www.acmicpc.net/problem/13712,3,68,20.000%,17
90,5821,쌀 창고,https://www.acmicpc.net/problem/5821,125,414,41.667%,17
91,23021,등산로,https://www.acmicpc.net/problem/23021,4,11,44.444%,17
92,18257,Find The Number,https://www.acmicpc.net/problem/18257,4,38,40.000%,17
93,2271,암호화 알고리즘의 약점,https://www.acmicpc.net/problem/2271,34,332,15.888%,17
94,21034,Go To Goal,https://www.acmicpc.net/problem/21034,5,13,50.000%,17
95,7112,Cutting Out of Factorials,https://www.acmicpc.net/problem/7112,5,16,45.455%,17
96,18135,겨울나기,https://www.acmicpc.net/problem/18135,17,33,56.667%,17
97,13099,Cookie Counter,https://www.acmicpc.net/problem/13099,12,18,66.667%,17
98,8112,0과 1 - 2,https://www.acmicpc.net/problem/8112,188,758,33.935%,17
99,24732,잠자는 규리,https://www.acmicpc.net/problem/24732,19,134,22.353%,17
100,8198,Frog,https://www.acmicpc.net/problem/8198,23,98,31.944%,17
101,18122,색깔 하노이 탑,https://www.acmicpc.net/problem/18122,201,879,34.126%,17
102,10901,Make superpalindrome!,https://www.acmicpc.net/problem/10901,17,103,34.000%,17
103,24590,Circle Bounce,https://www.acmicpc.net/problem/24590,9,22,45.000%,17
104,17150,Azulejos,https://www.acmicpc.net/problem/17150,23,71,34.328%,17
105,23005,Consecutive Primes,https://www.acmicpc.net/problem/23005,9,14,75.000%,17
106,17794,Automatic Accountant,https://www.acmicpc.net/problem/17794,22,52,47.826%,17
107,24497,수열 복원,https://www.acmicpc.net/problem/24497,10,28,45.455%,17
108,21125,Biological Software Utilities,https://www.acmicpc.net/problem/21125,10,11,90.909%,17
109,21104,Miner,https://www.acmicpc.net/problem/21104,10,13,76.923%,17
110,7911,Laundry,https://www.acmicpc.net/problem/7911,19,65,31.667%,17
111,17153,Circular DNA,https://www.acmicpc.net/problem/17153,24,56,43.636%,17
112,15057,Fundraising,https://www.acmicpc.net/problem/15057,19,33,63.333%,17
113,6614,Analog Clock Display,https://www.acmicpc.net/problem/6614,11,38,28.947%,17
114,5010,수화물,https://www.acmicpc.net/problem/5010,11,83,21.154%,17
115,4789,The End of the World,https://www.acmicpc.net/problem/4789,5,7,71.429%,17
116,20687,Moon and Sun,https://www.acmicpc.net/problem/20687,8,20,40.000%,17
117,18724,Invited Speakers,https://www.acmicpc.net/problem/18724,7,8,87.500%,17
118,18534,Rooted Subtrees,https://www.acmicpc.net/problem/18534,22,44,66.667%,17
119,22273,Job Allocator,https://www.acmicpc.net/problem/22273,6,12,66.667%,17
120,23036,CAN WIN,https://www.acmicpc.net/problem/23036,21,46,58.333%,17
121,15061,Jumping Frog,https://www.acmicpc.net/problem/15061,21,37,63.636%,17
122,11620,Hovering Hornet,https://www.acmicpc.net/problem/11620,21,72,43.750%,17
123,24033,맥스웰의 악마,https://www.acmicpc.net/problem/24033,22,37,61.111%,17
124,10894,Following Flow,https://www.acmicpc.net/problem/10894,14,65,36.842%,17
125,5552,걷는 산타클로스,https://www.acmicpc.net/problem/5552,51,290,22.768%,17
126,16444,Cortador de Pizza,https://www.acmicpc.net/problem/16444,5,5,100.000%,17
127,12582,Your Rank is Pure (Large),https://www.acmicpc.net/problem/12582,6,15,42.857%,17
128,13720,Prosječni,https://www.acmicpc.net/problem/13720,22,41,64.706%,17
129,20653,롯데 자이언츠와 가희,https://www.acmicpc.net/problem/20653,23,89,46.000%,17
130,14847,수열과 변환,https://www.acmicpc.net/problem/14847,23,53,47.917%,17
131,3113,양,https://www.acmicpc.net/problem/3113,23,104,32.394%,17
132,3895,그리고 하나가 남았다,https://www.acmicpc.net/problem/3895,150,465,52.083%,17
133,1829,사탕 항아리,https://www.acmicpc.net/problem/1829,24,202,23.762%,17
134,23024,보트 정박,https://www.acmicpc.net/problem/23024,4,34,25.000%,17
135,20691,Shopping Changes,https://www.acmicpc.net/problem/20691,6,12,50.000%,17
136,16334,Inversion,https://www.acmicpc.net/problem/16334,20,32,74.074%,17
137,3008,직각 삼각형의 개수,https://www.acmicpc.net/problem/3008,72,422,31.169%,17
138,18266,Meetings,https://www.acmicpc.net/problem/18266,73,443,24.746%,17
139,5851,Cow Lineup,https://www.acmicpc.net/problem/5851,30,64,60.000%,17
140,16296,Daily Division,https://www.acmicpc.net/problem/16296,29,89,41.429%,17
141,17627,XORanges,https://www.acmicpc.net/problem/17627,28,55,56.000%,17
142,18655,Cosmic Cleaner,https://www.acmicpc.net/problem/18655,7,10,87.500%,17
143,17736,JOIOJI,https://www.acmicpc.net/problem/17736,27,42,93.103%,17
144,12609,Year of More Code Jam (Small),https://www.acmicpc.net/problem/12609,7,8,100.000%,17
145,6231,Gold Balanced Lineup,https://www.acmicpc.net/problem/6231,26,103,40.625%,17
146,12877,먹이 사슬,https://www.acmicpc.net/problem/12877,26,149,28.261%,17
147,24455,암호화 행렬,https://www.acmicpc.net/problem/24455,8,63,50.000%,17
148,2968,보드 게임의 왕 김동혁,https://www.acmicpc.net/problem/2968,13,59,37.143%,17
149,17277,주식,https://www.acmicpc.net/problem/17277,14,91,42.424%,17
150,16855,"일해라, 류트!",https://www.acmicpc.net/problem/16855,14,59,34.146%,17
151,6806,Wowow,https://www.acmicpc.net/problem/6806,5,9,55.556%,17
152,10792,Ship Traffic,https://www.acmicpc.net/problem/10792,19,67,31.667%,17
153,5914,Cow Photography,https://www.acmicpc.net/problem/5914,74,195,56.923%,17
154,5626,제단,https://www.acmicpc.net/problem/5626,457,2262,27.764%,17
155,11266,단절점,https://www.acmicpc.net/problem/11266,2302,11332,33.714%,17
156,21818,Do You Know Your ABCs?,https://www.acmicpc.net/problem/21818,26,43,70.270%,17
157,5507,Starry Night,https://www.acmicpc.net/problem/5507,9,30,33.333%,17
158,16602,Brexit Negotiations,https://www.acmicpc.net/problem/16602,52,107,54.737%,17
159,7831,Fire Drill,https://www.acmicpc.net/problem/7831,9,46,33.333%,17
160,17514,Lexicographically Minimum Walk,https://www.acmicpc.net/problem/17514,59,147,40.972%,17
161,3747,완벽한 선거!,https://www.acmicpc.net/problem/3747,293,796,49.915%,17
162,4845,Baseball,https://www.acmicpc.net/problem/4845,9,26,37.500%,17
163,1602,도망자 원숭이,https://www.acmicpc.net/problem/1602,291,1686,25.639%,17
164,15783,세진 바이러스,https://www.acmicpc.net/problem/15783,269,1227,36.059%,17
165,12880,그래프 차이 최소,https://www.acmicpc.net/problem/12880,61,262,30.198%,17
166,4643,Tournament Brackets,https://www.acmicpc.net/problem/4643,1,1,100.000%,17
167,11446,Chess Tournament,https://www.acmicpc.net/problem/11446,12,41,40.000%,17
168,6476,Postscript,https://www.acmicpc.net/problem/6476,7,32,28.000%,17
169,6652,Roman Expressions,https://www.acmicpc.net/problem/6652,2,3,100.000%,17
170,1432,그래프 수정,https://www.acmicpc.net/problem/1432,101,535,23.934%,17
